user,link,text,created_at,#likes,#comments,#retweets
Virat Kohli,https://twitter.com/imVkohli/status/1706171674390155372#m,"Recreated one of my favorite memories with vivo V29 Series.  Participate in #RecreateMasterpiece contest and stand a chance to win exciting prizes. Upload the pic, tag @vivo_India and use hashtags #RecreateMasterpiece #vivoV29Series #TheMasterpiece #ThePortraitMasterpiece #Ad","Sep 25, 2023 · 5:00 AM UTC",51089,955,3176
Virat Kohli,https://twitter.com/imVkohli/status/1704406809593942063#m,"I am thrilled to announce that one8 Commune is now coming to Gurgaon, and you're invited to be part of this incredible journey!  Join us in the spirit of communing from Sept 23 as we can't wait to share the love with you all! #ad #one8commune @one8world","Sep 20, 2023 · 8:07 AM UTC",69784,1521,3972
Virat Kohli,https://twitter.com/imVkohli/status/1701833916842463413#m,"Hurry, it's your chance to prove that you're an #MRFSuperFan like me!  Share your favourite MRF experience with #MRFSuperFan for the chance to win tickets to watch India play at the World Cup!  Details at: https://www.mrftyres.com/mrf-super-fan #MRFSuperFan #ad @MRFWorldwide","Sep 13, 2023 · 5:43 AM UTC",35742,1165,2222
Virat Kohli,https://twitter.com/imVkohli/status/1700011077659169081#m,Your wardrobe can be your canvas too. Own it.  Get the Wrogn AW’23 looks here 👉 https://bit.ly/3Pb2fz0 #StayWrogn #StayMad #ad @StayWrogn,"Sep 8, 2023 · 5:00 AM UTC",45756,1010,2516
Virat Kohli,https://twitter.com/imVkohli/status/1699648695405514988#m,"Being a hero is one part of the journey, but staying a hero is all about consistency. One needs to be strong inside as well as outside.  WELLMAN - daily nutritional support for strong men – Try it Today!  #stayhero #Vitabioticsin #Wellmanin #UKsNo1MensSupplement #ad @Wellmanin1","Sep 7, 2023 · 5:00 AM UTC",25265,547,1612
Virat Kohli,https://twitter.com/imVkohli/status/1698923916197298411#m,"I'm travelling for most of the year. My car back home doesn't get to go for long drives as much. So @heydigit's car insurance with the PAYD addon sounds perfect for me! If you drive less, this could be perfect for you too!  Btw, loved turning into a bobblehead ;-) #Ad","Sep 5, 2023 · 5:00 AM UTC",26567,583,1732
Virat Kohli,https://twitter.com/imVkohli/status/1697158700946071991#m,"Unlimited savings with HSBC Cashback Credit Card! Live #UnlimitedEveryday  Apply now: grp.hsbc/vkcbcc  10% cashback* on dining, food delivery & grocery spends  #Unlimited 1.5% cashback* on all other spends, including utility bills  #HSBCCreditCards #Cashback #ad @HSBC_IN","Aug 31, 2023 · 8:05 AM UTC",24735,672,1494
Virat Kohli,https://twitter.com/imVkohli/status/1696387199044813229#m,Finally found someone who believes that great health starts with great sleep @Duroflex_world 🛏️ ☁️  Check out the new & improved orthopedic mattresses from Duroflex. Recommended by doctors 🩺. Loved by India. Available on duroflexworld.com & Duroflex Experience Centers #ad,"Aug 29, 2023 · 5:00 AM UTC",23580,491,1441
Virat Kohli,https://twitter.com/imVkohli/status/1695298776821325986#m,"Do your best with the O’cean Energy Drink Sustainable Edition in partnership with @BallCorpHQ. The drink gives you long-lasting energy, while the cans contain at least 70% recycled aluminum and can be recycled forever. Grab it @ Rs.65 oceanbeverages.in @OceanBeverages #ad","Aug 26, 2023 · 4:55 AM UTC",22886,515,1482
Virat Kohli,https://twitter.com/imVkohli/status/1694339035496607772#m,Many congratulations to the #Chandrayaan3 team. You have made the nation proud 🇮🇳 Jai Hind!,"Aug 23, 2023 · 1:21 PM UTC",207417,2467,20015
Virat Kohli,https://twitter.com/imVkohli/status/1693880388631011356#m,"Two PUMAs on the prowl 🏃🏻‍♂️🏃🏻‍♀️ @PUMA  Shop PUMA’s all-new range of NITRO running shoes ⚡️ Available on PUMA.com, PUMA App & PUMA Stores. #FueledByNITRO #ad","Aug 22, 2023 · 6:58 AM UTC",54341,857,3502
Virat Kohli,https://twitter.com/imVkohli/status/1693499544997376141#m,📸,"Aug 21, 2023 · 5:45 AM UTC",235413,4657,12012
Virat Kohli,https://twitter.com/imVkohli/status/1692906070841467264#m,"Last evening was magical with @audiIN . Truly exciting to unveil the new statement of electric performance, Audi #Q8etron. Can't wait to experience the calm inside, the new electric from Audi, Q8 e-tron. #RightCarForRightNow #AudiIndia #ad","Aug 19, 2023 · 2:27 PM UTC",38596,580,2426
Virat Kohli,https://twitter.com/imVkohli/status/1692476175246110805#m,Forever grateful 🙏,"Aug 18, 2023 · 9:58 AM UTC",291397,4946,24868
Virat Kohli,https://twitter.com/imVkohli/status/1692039405970899282#m,"Kya tum vakai Wrogn ho?  Check out the link here bit.ly/3Ohdx4r or head over to @StayWrogn for all the deets! Oh, and don’t forget to share your very own creations.  @myntra #RoganNahiWrognHai #StayWrogn #ad","Aug 17, 2023 · 5:03 AM UTC",24162,404,1530
Virat Kohli,https://twitter.com/imVkohli/status/1691384705290223616#m,Chutti hai fir bhi bhaagna toh padega 😁🏃,"Aug 15, 2023 · 9:41 AM UTC",162689,2588,10391
Elon Musk,https://twitter.com/elonmusk/status/1804532172344131961#m,Everyday Astronaut interview and Starship factory tour!,"Jun 22, 2024 · 3:09 PM UTC",61726,4050,8631
